cell_label,category,lr,wd,seed,observed_phase,tau_gen,null_interval,ema_alpha,slope_thresh,tau_F,delta,ordering
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.3,0.02,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.15,0.005,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.15,0.01,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.15,0.02,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.05,0.005,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.05,0.01,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,500,0.05,0.02,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,1.0,0.005,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,1.0,0.01,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,1.0,0.02,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.3,0.005,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.3,0.01,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.3,0.02,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.15,0.005,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.15,0.01,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.15,0.02,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.05,0.005,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.05,0.01,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,2500,0.05,0.02,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,1.0,0.005,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,1.0,0.01,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,1.0,0.02,13500.0,1500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.3,0.005,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.3,0.01,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.3,0.02,14500.0,2500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.15,0.005,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.15,0.01,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.15,0.02,16000.0,4000.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.05,0.005,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.05,0.01,19500.0,7500.0,G<F
wd2.45_s7,weak_GF,0.0016,2.4497,7,Grokking,12000.0,5000,0.05,0.02,19500.0,7500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,1.0,0.005,20000.0,1000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,1.0,0.01,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,1.0,0.02,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.3,0.005,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.3,0.01,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.3,0.02,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.15,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.15,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.15,0.02,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.05,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.05,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,500,0.05,0.02,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,1.0,0.005,20000.0,1000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,1.0,0.01,20000.0,1000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,1.0,0.02,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.3,0.005,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.3,0.01,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.3,0.02,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.15,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.15,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.15,0.02,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.05,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.05,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,2500,0.05,0.02,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,1.0,0.005,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,1.0,0.01,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,1.0,0.02,19500.0,500.0,coincident
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.3,0.005,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.3,0.01,21000.0,2000.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.3,0.02,20500.0,1500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.15,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.15,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.15,0.02,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.05,0.005,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.05,0.01,21500.0,2500.0,G<F
wd3.50_s7,weak_GF,0.0016,3.5,7,Grokking,19000.0,5000,0.05,0.02,21500.0,2500.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,1.0,0.005,12500.0,1500.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,1.0,0.01,12500.0,1500.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,1.0,0.02,12500.0,1500.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,0.3,0.005,13000.0,2000.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,0.3,0.01,13000.0,2000.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,0.3,0.02,13000.0,2000.0,G<F
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,0.15,0.005,11500.0,500.0,coincident
wd3.11_s2025,coincident,0.0016,3.1075,2025,Grokking,11000.0,500,0.15,0.01,11500.0,500.0,coincident
