label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_circ_gen,14500,0.9557701945304871,1,0.9557702084392475,0.08998474834773768,0.8825622775800712,0.9446873411286223,0.004608142020792979,0.17295836498250616,7,0.24758515505846468,0.07320793085917632,0.011082867310625244,0.7081850533807829,6.605504587155999
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_circ_gen,14500,0.9557701945304871,3,0.9557702084392475,0.8759532282663955,0.3802745297407219,0.9351296390442296,0.005405199332995235,0.5064918416202983,"7,24,9",0.13065582104728013,0.5754956786985257,0.020640569395017905,0.8251143873919674,27.88177339901463
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_circ_gen,14500,0.9557701945304871,5,0.9557702084392475,0.9725470259278088,0.030503304524656837,0.9545500762582613,0.004903774499964418,0.7911018538443875,"7,24,9,19,4",0.042704626334519574,0.9252669039145907,0.0012201321809862664,0.913065582104728,758.3333333333377
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_circ_gen,14500,0.9557701945304871,10,0.9557702084392475,0.9705134722928317,0.003050330452465684,0.9645144890696491,0.0014874162519906173,0.9657013130251153,"7,24,9,19,4,21,6,1,18,11",0.018301982714794104,0.9527198779867818,-0.008744280630401557,0.9374682257244534,-108.95348837209387
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_gen_F,25000,0.982206404209137,1,0.9822064056939501,0.14794102694458566,0.9750889679715302,0.9814946619217082,0.0006896115895399116,0.2462891331676821,7,0.10371123538383324,0.007117437722419906,0.000711743772241924,0.8784951703101169,10.000000000000936
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_gen_F,25000,0.982206404209137,3,0.9822064056939501,0.958312150482969,0.9211997966446365,0.9805795627859684,0.0008746644908024993,0.5489560311262819,"7,9,24",0.0711743772241993,0.061006609049313654,0.0016268429079817626,0.9110320284697508,37.4999999999985
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_gen_F,25000,0.982206404209137,5,0.9822064056939501,0.9801728520589731,0.34011184544992373,0.9816980172852059,0.0008506965190992098,0.8016640468304983,"7,9,24,19,21",0.0340620233858668,0.6420945602440264,0.0005083884087442314,0.9481443823080833,1263.0000000001223
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_gen_F,25000,0.982206404209137,10,0.9822064056939501,0.9832231825114387,0.004067107269954245,0.98312150482969,0.0003804430489856563,0.9938593037538962,"7,9,24,19,21,4,1,6,12,26",0.01728520589730554,0.9781392984239958,-0.0009150991357398386,0.9649211997966446,-1068.888888888733
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,post_all,38000,0.9954245090484619,1,0.9954245043213015,0.157600406710727,0.9933909506863243,0.9946110828673106,0.0008864054791135008,0.193846264834918,21,0.058973055414336555,0.0020335536349771477,0.0008134214539908813,0.936451448906965,2.4999999999999316
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,post_all,38000,0.9954245090484619,3,0.9954245043213015,0.9715302491103203,0.9816980172852059,0.9933909506863243,0.0007189697825994472,0.4960545105061604,"21,9,24",0.05185561769191662,0.01372648703609558,0.0020335536349771477,0.9435688866293849,6.749999999999918
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,post_all,38000,0.9954245090484619,5,0.9954245043213015,0.9913573970513472,0.505338078291815,0.994306049822064,0.0007471753155413925,0.7462767956737026,"21,9,24,7,19",0.04016268429079817,0.4900864260294865,0.0011184544992374201,0.9552618200305033,438.18181818181705
