lr,wd,seed,tau_gen,tau_F,delta,y,p_full,p_geom,p_speed
0.003004,2.9281,7,15500,22000,6500,1,0.8931,0.9225,0.9202
0.003004,2.9281,2025,4000,17500,13500,1,0.9844,0.9225,0.9865
0.003004,3.5,42,13000,19000,6000,1,0.9209,0.9363,0.9358
0.003004,3.5,7,8500,16500,8000,1,0.9563,0.9363,0.9627
0.003004,3.5,2025,5500,16500,11000,1,0.9767,0.9363,0.9791
0.0043,2.0494,2025,66500,15500,-51000,0,0.5145,0.9149,0.6525
0.0043,2.4497,42,31000,8000,-23000,0,0.7667,0.9310,0.8302
0.0043,2.4497,7,6000,8000,2000,1,0.9623,0.9103,0.9764
0.0043,2.4497,2025,4000,8000,4000,1,0.9793,0.9103,0.9865
0.0043,2.9281,42,9000,14000,5000,1,0.9376,0.9261,0.9598
0.0043,2.9281,7,3500,13000,9500,1,0.9843,0.9261,0.9888
0.0043,2.9281,2025,2000,14500,12500,1,0.9935,0.9261,0.9950
0.0043,3.5,42,6000,18500,12500,1,0.9674,0.9394,0.9764
0.0043,3.5,2025,4000,8000,4000,1,0.9821,0.9394,0.9865
