label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,3,0.22318251143873918,0.17946110828673106,0.1128622267412303,0.21311642094560246,0.006884112203278402,0.22764455861901087,"5,6,12",0.01626842907981698,0.11032028469750889,0.010066090493136726,0.2069140823589222,10.959595959595992
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,5,0.22318251143873918,0.41637010676156583,0.046263345195729534,0.23518047788510418,0.004587906120052258,0.3549664175106375,"5,6,12,23,21",0.017793594306049824,0.17691916624300966,-0.011997966446365,0.20538891713268936,-14.745762711864435
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,10,0.22318251143873918,0.36400610066090494,0.014743263853584139,0.29781392984239957,0.012978947978827031,0.6470781853726056,"5,6,12,23,21,25,4,15,3,14",0.01677681748856126,0.20843924758515506,-0.07463141840366039,0.20640569395017794,-2.7929155313351504
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,1,0.5119471276054905,0.09608540925266904,0.3797661413319776,0.5019827147941027,0.007413411747252949,0.10137837441377932,12,0.018301982714794104,0.13218098627351293,0.009964412811387824,0.49364514489069644,13.26530612244908
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,3,0.5119471276054905,0.7661413319776309,0.12302999491611591,0.5013726487036095,0.007356013115479786,0.28173404787038303,"12,5,23",0.018301982714794104,0.38891713268937467,0.010574478901881013,0.49364514489069644,36.77884615384624
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,5,0.5119471276054905,0.6741230299949161,0.0971021860701576,0.5029994916115913,0.02410125696650811,0.4384147373161717,"12,5,23,21,6",0.019318759532282664,0.41484494153533297,0.00894763599389925,0.49262836807320787,46.36363636363682
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,10,0.5119471276054905,0.6842907981698018,0.019318759532282664,0.6037620742247076,0.008925655860642517,0.738307202219882,"12,5,23,21,6,25,3,14,15,22",0.018301982714794104,0.49262836807320787,-0.09181494661921707,0.49364514489069644,-5.365448504983388
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,1,0.04067107269954245,0.06507371631926792,0.01728520589730554,0.04036603965429588,0.0012285761030599472,0.14821111330959705,12,0.019827147941026944,0.023385866802236907,0.0003050330452465666,0.020843924758515504,76.66666666666711
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,3,0.04067107269954245,0.27656329435688864,0.006100660904931368,0.04636502287747839,0.0036291953833400606,0.3565216301363818,"12,10,6",0.012201321809862735,0.03457041179461108,-0.00569395017793594,0.028469750889679714,-6.071428571428575
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,5,0.04067107269954245,0.20843924758515506,0.003050330452465684,0.05287239450940519,0.003637731330960513,0.4469906883934686,"12,10,6,24,14",0.0157600406710727,0.03762074224707676,-0.01220132180986274,0.024911032028469747,-3.0833333333333317
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,10,0.04067107269954245,0.13472292831723437,0.0035587188612099642,0.08113879003558719,0.004935296837625462,0.6408453322070992,"12,10,6,24,14,5,9,7,1,16",0.020335536349771224,0.03711235383833248,-0.04046771733604474,0.020335536349771224,-0.9170854271356782
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,1,0.7976614133197764,0.15149974580579562,0.4677173360447382,0.7776309100152516,0.01090656069587218,0.26001952388227756,10,0.17539400101677682,0.32994407727503816,0.020030503304524716,0.6222674123029995,16.472081218274063
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,3,0.7976614133197764,0.9359430604982206,0.11184544992374174,0.7663446873411286,0.007693984509361517,0.5720788856989575,"10,6,12",0.0630401626842908,0.6858159633960346,0.031316725978647764,0.7346212506354856,21.899350649350595
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,5,0.7976614133197764,0.9938993390950687,0.0066090493136756485,0.8420945602440264,0.012722312003755612,0.774678011547221,"10,6,12,5,24",0.02592780884595831,0.7910523640061007,-0.044433146924250044,0.771733604473818,-17.803203661327263
