operation,prime,lr,wd,seed,top_k,observed_phase,tau_train,tau_gen,tau_F,tau_circuit_ours,tau_circuit_nanda_restricted,tau_circuit_nanda_excluded,delta_restricted_vs_ours,delta_excluded_vs_ours,delta_gc_ours,delta_gc_nanda_restricted,nanda_keys_static,nanda_restricted_loss_final,nanda_excluded_loss_final,nanda_full_loss_final,max_train_acc,max_test_acc,trajectory_file,runtime_sec
add,53,0.000926,2.5,42,5,Grokking,2000.0,18500.0,26500.0,13500.0,25500.0,12500.0,12000.0,-1000.0,5000.0,-7000.0,"8,13,7,3,19",0.9016051327664997,0.7111732175962807,0.013650526021020827,1.0,1.0,traj_lr9.260000e-04_wd2.5000_seed42.npz,510.88485527038574
add,53,0.000926,2.5,7,5,Grokking,500.0,32000.0,31500.0,12500.0,32000.0,18000.0,19500.0,5500.0,19500.0,0.0,"14,1,6,17,9",0.01847374472157324,2.420731111167444,0.0013446652074242825,1.0,1.0,traj_lr9.260000e-04_wd2.5000_seed7.npz,510.71221566200256
add,53,0.000926,2.5,2025,5,Grokking,500.0,25000.0,35500.0,8000.0,26000.0,15500.0,18000.0,7500.0,17000.0,-1000.0,"24,5,3,15,4",0.025367361672658916,2.0565741642673467,0.0009018300944942004,1.0,1.0,traj_lr9.260000e-04_wd2.5000_seed2025.npz,515.9415276050568
add,53,0.00126,2.5,42,5,Grokking,500.0,19500.0,33000.0,8000.0,33500.0,14000.0,25500.0,6000.0,11500.0,-14000.0,"12,14,19,24,3",0.04731370336506702,2.6291207155275793,0.0015678211950094453,1.0,1.0,traj_lr1.260000e-03_wd2.5000_seed42.npz,495.4435489177704
add,53,0.00126,2.5,7,5,Grokking,500.0,18000.0,20500.0,10500.0,14000.0,12500.0,3500.0,2000.0,7500.0,4000.0,"3,20,14,18,1",0.47168330221843524,1.0059615291998663,0.003394057858094188,1.0,1.0,traj_lr1.260000e-03_wd2.5000_seed7.npz,512.4666166305542
add,53,0.00126,2.5,2025,5,Grokking,500.0,12000.0,23500.0,8000.0,21500.0,11500.0,13500.0,3500.0,4000.0,-9500.0,"6,14,15,13,22",0.12435610783718007,2.210654007800364,0.008307761673883888,1.0,1.0,traj_lr1.260000e-03_wd2.5000_seed2025.npz,516.5232372283936
add,53,0.001714,2.5,42,5,Grokking,500.0,11000.0,17500.0,8000.0,16500.0,11500.0,8500.0,3500.0,3000.0,-5500.0,"9,12,3,4,14",0.0413793957538507,2.308180651645215,0.002928049447314022,1.0,1.0,traj_lr1.714000e-03_wd2.5000_seed42.npz,477.96700525283813
add,53,0.001714,2.5,7,5,Grokking,1500.0,13000.0,21500.0,9000.0,14500.0,11000.0,5500.0,2000.0,4000.0,-1500.0,"20,18,26,11,10",0.20664176655619007,1.536022418323002,0.002157113421229323,1.0,1.0,traj_lr1.714000e-03_wd2.5000_seed7.npz,513.7503185272217
add,53,0.001714,2.5,2025,5,Grokking,500.0,8000.0,18500.0,8000.0,8000.0,8500.0,0.0,500.0,0.0,0.0,"14,5,25,15,3",0.10534941491210344,1.8001523960097556,0.0027946042599600604,1.0,1.0,traj_lr1.714000e-03_wd2.5000_seed2025.npz,511.7169830799103
add,53,0.002333,2.5,42,5,Grokking,500.0,22500.0,28000.0,9500.0,9000.0,18000.0,-500.0,8500.0,13000.0,13500.0,"3,19,23,9,24",0.0035312539813108566,4.0187008261952295,0.004127199690527616,1.0,1.0,traj_lr2.333000e-03_wd2.5000_seed42.npz,510.14781737327576
add,53,0.002333,2.5,7,5,Grokking,500.0,8000.0,14000.0,8500.0,10000.0,8000.0,1500.0,-500.0,-500.0,-2000.0,"3,14,6,10,12",0.15633391143510533,2.346513486589888,0.014353743532411483,1.0,1.0,traj_lr2.333000e-03_wd2.5000_seed7.npz,497.47655844688416
add,53,0.002333,2.5,2025,5,Grokking,500.0,5500.0,11000.0,8000.0,8000.0,8500.0,0.0,500.0,-2500.0,-2500.0,"14,24,5,3,22",0.1389101885540733,1.8761713866599752,0.003817298069759331,1.0,1.0,traj_lr2.333000e-03_wd2.5000_seed2025.npz,515.6231513023376
add,53,0.003175,2.5,42,5,Grokking,500.0,11500.0,17500.0,8000.0,8500.0,12500.0,500.0,4500.0,3500.0,3000.0,"7,24,21,9,19",0.0033143226363998063,4.029125927659355,0.0037414490309198127,1.0,1.0,traj_lr3.175000e-03_wd2.5000_seed42.npz,512.3130404949188
add,53,0.003175,2.5,7,5,Grokking,500.0,6000.0,18000.0,8000.0,8000.0,8000.0,0.0,0.0,-2000.0,-2000.0,"23,14,5,12,10",0.020874301740300243,2.9354476797454203,0.0037714993053870865,1.0,1.0,traj_lr3.175000e-03_wd2.5000_seed7.npz,509.22315788269043
add,53,0.003175,2.5,2025,5,Grokking,500.0,3500.0,19500.0,8000.0,8000.0,8000.0,0.0,0.0,-4500.0,-4500.0,"15,14,5,3,22",0.022384792960314887,3.0152380740313593,0.004826928701237764,1.0,1.0,traj_lr3.175000e-03_wd2.5000_seed2025.npz,508.0018820762634
add,53,0.00432,2.5,42,5,Grokking,500.0,45000.0,9500.0,8000.0,34500.0,35500.0,26500.0,27500.0,37000.0,10500.0,"26,17,19,6,24",0.00973366374075131,4.036145115424023,0.009422873355292297,1.0,1.0,traj_lr4.320000e-03_wd2.5000_seed42.npz,507.71630001068115
add,53,0.00432,2.5,7,5,Grokking,500.0,7500.0,14000.0,8000.0,8000.0,8000.0,0.0,0.0,-500.0,-500.0,"14,2,6,5,24",0.04660418417986013,4.033227792008778,0.053463338561029645,1.0,1.0,traj_lr4.320000e-03_wd2.5000_seed7.npz,505.5116424560547
add,53,0.00432,2.5,2025,5,Grokking,500.0,3500.0,14000.0,8000.0,8000.0,8000.0,0.0,0.0,-4500.0,-4500.0,"14,5,4,25,3",0.32619749018351984,1.758877504439462,0.010970050030518182,1.0,1.0,traj_lr4.320000e-03_wd2.5000_seed2025.npz,505.52723574638367
add,53,0.005879,2.5,42,5,Memorization,500.0,,28000.0,27000.0,13000.0,13000.0,-14000.0,-14000.0,,,"21,9,24,8,7",5.047423445721385,6.752454813691815,7.537523220311236,1.0,0.018810370936989784,traj_lr5.879000e-03_wd2.5000_seed42.npz,808.1161623001099
add,53,0.005879,2.5,7,5,Memorization,500.0,,29500.0,13000.0,25000.0,32000.0,12000.0,19000.0,,,"10,9,22,12,6",4.6382614648577105,5.952713602506785,6.400521712771253,1.0,0.021860701963305473,traj_lr5.879000e-03_wd2.5000_seed7.npz,798.5640525817871
add,53,0.005879,2.5,2025,5,Grokking,500.0,38500.0,8000.0,9000.0,30000.0,31000.0,21000.0,22000.0,29500.0,8500.0,"5,23,22,2,10",0.0218144300955244,4.16918746400131,0.03946119482028523,1.0,1.0,traj_lr5.879000e-03_wd2.5000_seed2025.npz,510.1510100364685
add,53,0.008,2.5,42,5,Memorization,500.0,,21000.0,37500.0,39000.0,13000.0,1500.0,-24500.0,,,"5,16,6,9,19",4.737059677643768,6.3533489673109145,6.918270456170363,1.0,0.018810370936989784,traj_lr8.000000e-03_wd2.5000_seed42.npz,812.8251922130585
add,53,0.008,2.5,7,5,Memorization,500.0,,20000.0,47000.0,50000.0,16500.0,3000.0,-30500.0,,,"9,25,12,5,2",3.972061675588296,5.6216799809537275,5.102028659836055,1.0,0.021860701963305473,traj_lr8.000000e-03_wd2.5000_seed7.npz,812.7323114871979
add,53,0.008,2.5,2025,5,Memorization,500.0,,13000.0,16000.0,19500.0,21000.0,3500.0,5000.0,,,"23,4,16,1,26",4.422096848882007,5.500696617335229,5.790909502200359,1.0,0.018301982432603836,traj_lr8.000000e-03_wd2.5000_seed2025.npz,810.6886417865753
