operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,max_steps_used,runtime_sec
add,53,0.002099,1.7145,2025,Grokking,7000.0,23000.0,16000.0,G<F,1.0,1.0,50000,829.0572681427002
add,53,0.002099,2.0494,42,Grokking,14000.0,29000.0,15000.0,G<F,1.0,1.0,50000,830.6379594802856
add,53,0.002099,2.0494,7,Grokking,8000.0,13500.0,5500.0,G<F,1.0,1.0,50000,831.5174648761749
add,53,0.002099,2.0494,2025,Grokking,7000.0,13500.0,6500.0,G<F,1.0,1.0,50000,832.1981308460236
add,53,0.002099,2.4497,42,Grokking,16500.0,23000.0,6500.0,G<F,1.0,1.0,50000,831.4677498340607
add,53,0.002099,2.4497,7,Grokking,8500.0,9500.0,1000.0,G<F,1.0,1.0,50000,831.2201995849609
add,53,0.002099,2.4497,2025,Grokking,4500.0,13000.0,8500.0,G<F,1.0,1.0,50000,834.3189475536346
add,53,0.002099,2.9281,42,Grokking,11000.0,15000.0,4000.0,G<F,1.0,1.0,50000,835.63640832901
add,53,0.002099,2.9281,7,Grokking,11500.0,22000.0,10500.0,G<F,1.0,1.0,50000,829.5059757232666
add,53,0.002099,2.9281,2025,Grokking,6500.0,12500.0,6000.0,G<F,1.0,1.0,50000,830.6704092025757
add,53,0.002099,3.5,42,Grokking,11500.0,11500.0,0.0,coincident,1.0,1.0,50000,837.6589422225952
add,53,0.002099,3.5,7,Grokking,9500.0,16000.0,6500.0,G<F,1.0,1.0,50000,837.1264426708221
add,53,0.002099,3.5,2025,Grokking,6500.0,14500.0,8000.0,G<F,1.0,1.0,50000,827.9118993282318
add,53,0.003004,1.2,42,Grokking,42000.0,39500.0,-2500.0,F<G,1.0,1.0,50000,827.8325307369232
add,53,0.003004,1.2,2025,Grokking,11500.0,17500.0,6000.0,G<F,1.0,0.9984748363494873,50000,830.9757816791534
add,53,0.003004,1.4344,7,Grokking,43000.0,39500.0,-3500.0,F<G,1.0,1.0,50000,828.0262396335602
add,53,0.003004,1.4344,2025,Grokking,11000.0,15000.0,4000.0,G<F,1.0,1.0,50000,829.3975856304169
add,53,0.003004,1.2,7,Memorization,,39000.0,,F_only,1.0,0.47025927901268005,80000,1324.214002609253
add,53,0.003004,1.7145,42,Grokking,28000.0,28500.0,500.0,coincident,1.0,1.0,50000,830.5341687202454
add,53,0.003004,1.4344,42,Grokking,59500.0,39500.0,-20000.0,F<G,1.0,1.0,80000,1325.220628976822
add,53,0.003004,1.7145,2025,Grokking,8500.0,13000.0,4500.0,G<F,1.0,1.0,50000,831.86199426651
add,53,0.003004,2.0494,42,Grokking,22000.0,26500.0,4500.0,G<F,1.0,1.0,50000,830.5678353309631
add,53,0.003004,2.0494,7,Grokking,9000.0,10000.0,1000.0,G<F,1.0,1.0,50000,828.6993188858032
add,53,0.003004,2.0494,2025,Grokking,5500.0,10500.0,5000.0,G<F,1.0,1.0,50000,831.4677088260651
add,53,0.003004,2.4497,42,Grokking,8000.0,18500.0,10500.0,G<F,1.0,1.0,50000,830.9712102413177
add,53,0.003004,1.7145,7,Memorization,,13000.0,,F_only,1.0,0.049822062253952026,80000,1326.9742949008942
add,53,0.003004,2.4497,7,Grokking,5500.0,17000.0,11500.0,G<F,1.0,1.0,50000,829.7578973770142
add,53,0.003004,2.4497,2025,Grokking,3500.0,8500.0,5000.0,G<F,1.0,1.0,50000,831.390162229538
add,53,0.003004,2.9281,42,Grokking,6500.0,21000.0,14500.0,G<F,1.0,1.0,50000,830.762811422348
add,53,0.003004,2.9281,7,Grokking,15500.0,22000.0,6500.0,G<F,1.0,1.0,50000,829.9407985210419
add,53,0.003004,2.9281,2025,Grokking,4000.0,17500.0,13500.0,G<F,1.0,1.0,50000,828.6024067401886
add,53,0.003004,3.5,42,Grokking,13000.0,19000.0,6000.0,G<F,1.0,1.0,50000,833.5095443725586
add,53,0.003004,3.5,7,Grokking,8500.0,16500.0,8000.0,G<F,1.0,1.0,50000,830.8031270503998
add,53,0.003004,3.5,2025,Grokking,5500.0,16500.0,11000.0,G<F,1.0,1.0,50000,830.6009874343872
add,53,0.0043,1.2,42,Memorization,,22500.0,,F_only,1.0,0.018810370936989784,80000,1322.1347107887268
add,53,0.0043,1.2,7,Memorization,,23500.0,,F_only,1.0,0.021860701963305473,80000,1328.9891726970673
add,53,0.0043,1.2,2025,Memorization,,35500.0,,F_only,1.0,0.018301982432603836,80000,1330.6321618556976
add,53,0.0043,1.4344,42,Memorization,,48000.0,,F_only,1.0,0.018810370936989784,80000,1329.9053983688354
add,53,0.0043,1.4344,7,Memorization,,,,none,1.0,0.021860701963305473,80000,1318.0788712501526
add,53,0.0043,1.4344,2025,Memorization,,28000.0,,F_only,1.0,0.018301982432603836,80000,1330.0987837314606
add,53,0.0043,1.7145,42,Memorization,,23000.0,,F_only,1.0,0.018810370936989784,80000,1330.556789636612
add,53,0.0043,1.7145,7,Memorization,,19000.0,,F_only,1.0,0.021860701963305473,80000,1328.482617855072
add,53,0.0043,1.7145,2025,Memorization,,13500.0,,F_only,1.0,0.018301982432603836,80000,1325.7421135902405
add,53,0.0043,2.0494,42,Memorization,,13000.0,,F_only,1.0,0.018810370936989784,80000,1330.6269071102142
add,53,0.0043,2.0494,7,Memorization,,15500.0,,F_only,1.0,0.021860701963305473,80000,1334.357337474823
add,53,0.0043,2.0494,2025,Grokking,66500.0,15500.0,-51000.0,F<G,1.0,1.0,80000,1328.4761755466461
add,53,0.0043,2.4497,42,Grokking,31000.0,8000.0,-23000.0,F<G,1.0,1.0,50000,830.9737713336945
add,53,0.0043,2.4497,7,Grokking,6000.0,8000.0,2000.0,G<F,1.0,1.0,50000,831.6754734516144
add,53,0.0043,2.4497,2025,Grokking,4000.0,8000.0,4000.0,G<F,1.0,1.0,50000,833.2678866386414
add,53,0.0043,2.9281,42,Grokking,9000.0,14000.0,5000.0,G<F,1.0,1.0,50000,829.4423997402191
add,53,0.0043,2.9281,7,Grokking,3500.0,13000.0,9500.0,G<F,1.0,1.0,50000,828.2204940319061
add,53,0.0043,2.9281,2025,Comprehension,2000.0,14500.0,12500.0,G<F,1.0,1.0,50000,831.1888046264648
add,53,0.0043,3.5,42,Grokking,6000.0,18500.0,12500.0,G<F,1.0,1.0,50000,813.7076134681702
add,53,0.0043,3.5,7,Grokking,21500.0,22000.0,500.0,coincident,1.0,1.0,50000,707.4135162830353
add,53,0.0043,3.5,2025,Grokking,4000.0,8000.0,4000.0,G<F,1.0,1.0,50000,629.032552242279
