label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,site,K,ctrl_mode,top_harmonics,base_acc,acc_ablate_fourier,acc_random_ctrl_mean,acc_random_ctrl_std,frac_energy_removed
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,mlp_L0,3,dim,"6,16,9",0.22318251143873918,0.04778851042196238,0.036502287747839354,0.0015217721959426306,0.1741993985142209
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,attn_L1,3,dim,"23,5,12",0.22318251143873918,0.05693950177935943,0.1214031520081342,0.0023496126097186268,0.2929500148061874
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,mlp_L1,3,dim,"7,12,5",0.22318251143873918,0.10218607015760041,0.17946110828673106,0.008445982575412377,0.35980824140350504
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,resid_final,3,dim,"7,12,5",0.22318251143873918,0.10269445856634468,0.19989832231825116,0.006662798139463498,0.4340260143261126
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,embed,3,dim,"7,3,15",0.5119471276054905,0.3492628368073208,0.042196237925775294,0.005587648872001663,0.20617798914566038
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,attn_L0,3,dim,"3,15,7",0.5119471276054905,0.3807829181494662,0.37885104219623794,0.0037414071160089724,0.21414236343616924
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,mlp_L0,3,dim,"6,1,3",0.5119471276054905,0.24860193187595322,0.22094560244026437,0.007399453136211595,0.19483365589334417
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,attn_L1,3,dim,"23,12,3",0.5119471276054905,0.19572953736654805,0.29649211997966446,0.007924338695840851,0.2959140753833515
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,mlp_L1,3,dim,"7,3,12",0.5119471276054905,0.25012709710218606,0.3970513472292832,0.006940944856482369,0.39639689330237143
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,resid_final,3,dim,"7,3,12",0.5119471276054905,0.2974072191154042,0.4345704117946111,0.007515899791591797,0.4630402659215829
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,embed,3,dim,"18,23,21",0.04067107269954245,0.042704626334519574,0.023690899847483477,0.00415014369739879,0.128566831833563
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,attn_L0,3,dim,"12,10,5",0.04067107269954245,0.0340620233858668,0.03436705643111337,0.0021230923251470356,0.23902508113717658
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,mlp_L0,3,dim,"18,23,21",0.04067107269954245,0.00813421453990849,0.007727503812913065,0.0016830651100403504,0.15689291886310663
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,attn_L1,3,dim,"12,10,24",0.04067107269954245,0.012201321809862735,0.02836807320793086,0.001341220738004365,0.38077473319790495
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,mlp_L1,3,dim,"10,12,24",0.04067107269954245,0.004067107269954245,0.0298932384341637,0.0028830598634993028,0.27257231047393765
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,resid_final,3,dim,"12,10,6",0.04067107269954245,0.010167768174885612,0.045958312150482974,0.004797204316048988,0.371599844529552
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,embed,3,dim,"14,18,23",0.7976614133197764,0.4875444839857651,0.09588205388917133,0.00634651206276654,0.13750052147354697
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,attn_L0,3,dim,"3,5,14",0.7976614133197764,0.5973563802745298,0.7025927808845958,0.004003054333508819,0.3344759907961384
